Event Date,Event ID,Event Name,Location,Organizer Name,Number of Attendees,Feedback Score
2024-05-31,1586,fundraising gala,,Isaiah Langer,20,Excellent
2024-05-27,1280,,High School,Pradeep Gupta,250,10.0
2024-05-05,1131,charity run,Town Square,Grady Archie,85,Excellent
2024-05-11,1606,charity run,Community Center,,37,6.0
2024-05-21,1642,,,Patti Fernandez,272,Excellent
2024-05-24,1820,community cleanup,Community Center,Grady Archie,141,6.0
2024-05-09,1507,,Town Square,Miriam Graham,47,Excellent
2024-05-12,1251,food drive,Downtown Hall,John Smith,238,2.0
2024-05-19,1211,blood donation camp,Community Center,Patti Fernandez,192,5.0
2024-05-05,1250,food drive,Downtown Hall,Isaiah Langer,103,7.0
2024-05-11,1107,food drive,Community Center,Grady Archie,160,6.0
2024-05-22,1297,community cleanup,Central Park,,195,7.0
2024-05-16,1978,fundraising gala,Central Park,,157,5.0
2024-05-13,1445,fundraising gala,Town Square,Lee Gu,three hundred,10.0
2024-05-08,1494,charity run,High School,Miriam Graham,215,8.0
2024-05-17,1382,community cleanup,Town Square,Joni Sherman,277,2.0
2024-05-05,1809,,Central Park,,115,8.0
2024-05-01,1135,charity run,Town Square,Sarah Johnson,three hundred,5.0
2024-05-07,1690,,,Henrietta Mueller,222,9.0
2024-05-29,1590,charity run,Community Center,Patti Fernandez,95,
2024-05-31,1586,fundraising gala,,Isaiah Langer,20,Excellent
